	level_1	AUC
424	Cross-validation	0.6280487804878048
425	Cross-validation	0.684041184041184
426	Cross-validation	0.75997425997426
427	Cross-validation	0.7158944658944658
428	Cross-validation	0.6134259259259259
429	Cross-validation	0.774051490514905
430	Cross-validation	0.7004504504504505
431	Cross-validation	0.7014157014157014
432	Cross-validation	0.6615186615186616
433	Cross-validation	0.7837301587301587
434	Cross-validation	0.6998644986449863
435	Cross-validation	0.6981981981981982
436	Cross-validation	0.7361647361647361
437	Cross-validation	0.8092020592020591
438	Cross-validation	0.6888227513227513
439	Cross-validation	0.7608401084010841
440	Cross-validation	0.751930501930502
441	Cross-validation	0.593951093951094
442	Cross-validation	0.6705276705276706
443	Cross-validation	0.6812169312169312
444	Cross-validation	0.701219512195122
445	Cross-validation	0.6727799227799227
446	Cross-validation	0.7294079794079793
447	Cross-validation	0.7277992277992278
448	Cross-validation	0.6326058201058201
449	Cross-validation	0.7063008130081301
450	Cross-validation	0.7574002574002574
451	Cross-validation	0.7113899613899615
452	Cross-validation	0.6673101673101673
453	Cross-validation	0.6607142857142858
454	Cross-validation	0.7235772357723578
455	Cross-validation	0.6949806949806949
456	Cross-validation	0.7564350064350064
457	Cross-validation	0.6978764478764479
458	Cross-validation	0.6329365079365079
459	Cross-validation	0.7232384823848239
460	Cross-validation	0.7142857142857143
461	Cross-validation	0.6660231660231659
462	Cross-validation	0.688867438867439
463	Cross-validation	0.7251984126984128
464	Cross-validation	0.6382113821138211
465	Cross-validation	0.6637709137709138
466	Cross-validation	0.6219433719433719
467	Cross-validation	0.761904761904762
468	Cross-validation	0.7179232804232805
469	Cross-validation	0.6429539295392954
470	Cross-validation	0.7364864864864866
471	Cross-validation	0.7635135135135135
472	Cross-validation	0.733912483912484
473	Cross-validation	0.7347883597883597
474	Cross-validation	0.7029132791327912
475	Cross-validation	0.75
476	Cross-validation	0.7097812097812098
477	Cross-validation	0.7570785070785071
478	Cross-validation	0.7086640211640212
479	Cross-validation	0.6595528455284553
480	Cross-validation	0.6293436293436294
481	Cross-validation	0.6782496782496782
482	Cross-validation	0.7445302445302446
483	Cross-validation	0.6431878306878307
484	Cross-validation	0.7002032520325203
485	Cross-validation	0.6557271557271558
486	Cross-validation	0.7548262548262548
487	Cross-validation	0.6853281853281853
488	Cross-validation	0.7662037037037037
489	Cross-validation	0.7876016260162602
490	Cross-validation	0.6560489060489061
491	Cross-validation	0.7027027027027027
492	Cross-validation	0.6708494208494208
493	Cross-validation	0.681878306878307
494	Cross-validation	0.7100271002710027
495	Cross-validation	0.7474259974259974
496	Cross-validation	0.7554697554697556
497	Cross-validation	0.6965894465894467
498	Cross-validation	0.7000661375661377
499	Cross-validation	0.7300135501355014
500	Cross-validation	0.6502574002574002
501	Cross-validation	0.6341698841698842
502	Cross-validation	0.6448412698412699
503	Cross-validation	0.7420634920634921
504	Cross-validation	0.683531746031746
505	Cross-validation	0.6296653796653797
506	Cross-validation	0.6776061776061776
507	Cross-validation	0.6732804232804233
508	Cross-validation	0.6746031746031746
