	level_1	AUC
470	Cross-validation	0.7213642213642214
471	Cross-validation	0.7644787644787645
472	Cross-validation	0.7046332046332047
473	Cross-validation	0.7003968253968254
474	Cross-validation	0.7249322493224933
475	Cross-validation	0.6731016731016731
476	Cross-validation	0.6756756756756758
477	Cross-validation	0.8108108108108109
478	Cross-validation	0.6653439153439153
479	Cross-validation	0.7845528455284553
480	Cross-validation	0.75997425997426
481	Cross-validation	0.6685971685971686
482	Cross-validation	0.7220077220077221
483	Cross-validation	0.7698412698412699
484	Cross-validation	0.7601626016260163
485	Cross-validation	0.7490347490347491
486	Cross-validation	0.694980694980695
487	Cross-validation	0.6949806949806949
488	Cross-validation	0.8108465608465608
489	Cross-validation	0.7981029810298103
490	Cross-validation	0.7805662805662806
491	Cross-validation	0.714929214929215
492	Cross-validation	0.7985842985842986
493	Cross-validation	0.6970899470899471
494	Cross-validation	0.7527100271002709
495	Cross-validation	0.6969111969111969
496	Cross-validation	0.7522522522522523
497	Cross-validation	0.6370656370656371
498	Cross-validation	0.6752645502645503
499	Cross-validation	0.7838753387533876
500	Cross-validation	0.6634491634491635
501	Cross-validation	0.7586872586872587
502	Cross-validation	0.7606177606177607
503	Cross-validation	0.6633597883597884
504	Cross-validation	0.7974254742547425
505	Cross-validation	0.6660231660231661
506	Cross-validation	0.6254826254826256
507	Cross-validation	0.7200772200772201
508	Cross-validation	0.7718253968253969
509	Cross-validation	0.7107046070460704
510	Cross-validation	0.7503217503217503
511	Cross-validation	0.7387387387387389
512	Cross-validation	0.7142857142857143
513	Cross-validation	0.576058201058201
514	Cross-validation	0.752710027100271
515	Cross-validation	0.6891891891891893
516	Cross-validation	0.7490347490347491
517	Cross-validation	0.722007722007722
518	Cross-validation	0.7506613756613756
519	Cross-validation	0.7378048780487805
520	Cross-validation	0.7625482625482625
521	Cross-validation	0.7574002574002573
522	Cross-validation	0.675032175032175
523	Cross-validation	0.6673280423280423
524	Cross-validation	0.8143631436314364
525	Cross-validation	0.8494208494208494
526	Cross-validation	0.6711711711711712
527	Cross-validation	0.6576576576576576
528	Cross-validation	0.7592592592592593
529	Cross-validation	0.6585365853658536
530	Cross-validation	0.7194337194337194
531	Cross-validation	0.7483912483912484
532	Cross-validation	0.7786357786357787
533	Cross-validation	0.751984126984127
534	Cross-validation	0.6612466124661247
535	Cross-validation	0.6898326898326897
536	Cross-validation	0.6628056628056629
537	Cross-validation	0.7850707850707851
538	Cross-validation	0.6752645502645503
539	Cross-validation	0.6836043360433603
540	Cross-validation	0.7084942084942085
541	Cross-validation	0.723938223938224
542	Cross-validation	0.7471042471042472
543	Cross-validation	0.7056878306878307
544	Cross-validation	0.6686991869918699
545	Cross-validation	0.5862290862290863
546	Cross-validation	0.7200772200772201
547	Cross-validation	0.7136422136422137
548	Cross-validation	0.7215608465608466
549	Cross-validation	0.6890243902439024
550	Cross-validation	0.7361647361647362
551	Cross-validation	0.7606177606177607
552	Cross-validation	0.7393822393822395
553	Cross-validation	0.7433862433862434
554	Cross-validation	0.7608401084010841
555	Cross-validation	0.7818532818532818
556	Cross-validation	0.750965250965251
557	Cross-validation	0.7136422136422136
558	Cross-validation	0.7301587301587301
559	Cross-validation	0.7337398373983739
560	Cross-validation	0.7374517374517375
561	Cross-validation	0.6525096525096525
562	Cross-validation	0.7876447876447876
563	Cross-validation	0.7010582010582012
564	Cross-validation	0.7262872628726287
565	Cross-validation	0.7850707850707851
566	Cross-validation	0.693050193050193
567	Cross-validation	0.7850707850707851
568	Cross-validation	0.7347883597883598
569	Cross-validation	0.7594850948509486
570	Cross-validation	0.7413127413127413
571	Cross-validation	0.7934362934362935
572	Cross-validation	0.660875160875161
573	Cross-validation	0.7367724867724867
574	Cross-validation	0.7398373983739837
575	Cross-validation	0.7342342342342343
576	Cross-validation	0.7574002574002574
577	Cross-validation	0.6673101673101673
578	Cross-validation	0.7764550264550265
579	Cross-validation	0.7276422764227641
580	Cross-validation	0.6866151866151867
581	Cross-validation	0.7400257400257401
582	Cross-validation	0.8018018018018018
583	Cross-validation	0.7414021164021164
584	Cross-validation	0.7235772357723577
585	Cross-validation	0.6833976833976835
586	Cross-validation	0.8056628056628057
587	Cross-validation	0.6743886743886744
588	Cross-validation	0.6964285714285714
589	Cross-validation	0.8035230352303523
590	Cross-validation	0.6879021879021879
591	Cross-validation	0.7664092664092664
592	Cross-validation	0.7522522522522522
593	Cross-validation	0.6653439153439155
594	Cross-validation	0.8238482384823848
595	Cross-validation	0.7226512226512226
596	Cross-validation	0.806949806949807
597	Cross-validation	0.8043758043758045
598	Cross-validation	0.736111111111111
599	Cross-validation	0.6626016260162602
600	Cross-validation	0.8204633204633205
601	Cross-validation	0.7921492921492922
602	Cross-validation	0.7734877734877735
603	Cross-validation	0.6970899470899471
604	Cross-validation	0.714769647696477
605	Cross-validation	0.7728442728442728
606	Cross-validation	0.7117117117117118
607	Cross-validation	0.7400257400257401
608	Cross-validation	0.8511904761904762
609	Cross-validation	0.785230352303523
610	Cross-validation	0.7355212355212355
611	Cross-validation	0.7503217503217503
612	Cross-validation	0.7805662805662805
613	Cross-validation	0.7976190476190476
614	Cross-validation	0.7168021680216803
615	Cross-validation	0.7702702702702703
616	Cross-validation	0.7837837837837838
617	Cross-validation	0.7921492921492921
618	Cross-validation	0.6904761904761905
619	Cross-validation	0.7926829268292683
620	Cross-validation	0.7792792792792793
621	Cross-validation	0.8024453024453025
622	Cross-validation	0.7496782496782498
623	Cross-validation	0.7744708994708995
624	Cross-validation	0.8245257452574526
625	Cross-validation	0.6833976833976834
626	Cross-validation	0.8185328185328185
627	Cross-validation	0.7767052767052768
628	Cross-validation	0.6832010582010583
629	Cross-validation	0.8360433604336044
630	Cross-validation	0.7619047619047619
631	Cross-validation	0.770913770913771
632	Cross-validation	0.7895752895752897
633	Cross-validation	0.7777777777777778
634	Cross-validation	0.7046070460704608
635	Cross-validation	0.787001287001287
636	Cross-validation	0.7541827541827542
637	Cross-validation	0.7850707850707851
638	Cross-validation	0.7493386243386243
639	Cross-validation	0.693089430894309
640	Cross-validation	0.7985842985842986
641	Cross-validation	0.7715572715572716
642	Cross-validation	0.7297297297297297
643	Cross-validation	0.8062169312169312
644	Cross-validation	0.6971544715447153
645	Cross-validation	0.7683397683397682
646	Cross-validation	0.788931788931789
647	Cross-validation	0.7483912483912484
648	Cross-validation	0.7857142857142857
649	Cross-validation	0.755420054200542
650	Cross-validation	0.7882882882882882
651	Cross-validation	0.7213642213642215
652	Cross-validation	0.8462033462033461
653	Cross-validation	0.7605820105820107
654	Cross-validation	0.7371273712737128
655	Cross-validation	0.7232947232947233
656	Cross-validation	0.8268983268983269
657	Cross-validation	0.7252252252252253
658	Cross-validation	0.7281746031746031
659	Cross-validation	0.7926829268292683
660	Cross-validation	0.8075933075933077
661	Cross-validation	0.6731016731016731
662	Cross-validation	0.7857142857142858
663	Cross-validation	0.7863756613756614
664	Cross-validation	0.7947154471544715
665	Cross-validation	0.7503217503217503
666	Cross-validation	0.6634491634491634
667	Cross-validation	0.8507078507078507
668	Cross-validation	0.7949735449735449
669	Cross-validation	0.7777777777777778
670	Cross-validation	0.7606177606177607
671	Cross-validation	0.7232947232947232
672	Cross-validation	0.7664092664092664
673	Cross-validation	0.7797619047619048
674	Cross-validation	0.7757452574525746
675	Cross-validation	0.7554697554697555
676	Cross-validation	0.7606177606177607
677	Cross-validation	0.745817245817246
678	Cross-validation	0.7579365079365079
679	Cross-validation	0.7899728997289972
680	Cross-validation	0.8410553410553411
681	Cross-validation	0.6827541827541828
682	Cross-validation	0.5855855855855856
683	Cross-validation	0.7976190476190477
684	Cross-validation	0.815040650406504
685	Cross-validation	0.8603603603603603
686	Cross-validation	0.7297297297297298
687	Cross-validation	0.7342342342342343
688	Cross-validation	0.7361111111111112
689	Cross-validation	0.7798102981029811
690	Cross-validation	0.7586872586872587
691	Cross-validation	0.8063063063063063
692	Cross-validation	0.7985842985842987
693	Cross-validation	0.7235449735449735
694	Cross-validation	0.7371273712737128
695	Cross-validation	0.8172458172458172
