	level_1	AUC
542	Cross-validation	0.7092946605141728
543	Cross-validation	0.7930125247198417
544	Cross-validation	0.7811470006591958
545	Cross-validation	0.7985842985842987
546	Cross-validation	0.7187902187902189
547	Cross-validation	0.7794990112063284
548	Cross-validation	0.6216216216216216
549	Cross-validation	0.7099538562953198
550	Cross-validation	0.7953667953667953
551	Cross-validation	0.7548262548262549
552	Cross-validation	0.5728411338167436
553	Cross-validation	0.7640079103493738
554	Cross-validation	0.7363216875411998
555	Cross-validation	0.7792792792792793
556	Cross-validation	0.7162162162162163
557	Cross-validation	0.7640079103493738
558	Cross-validation	0.6512854317732367
559	Cross-validation	0.6710613052076467
560	Cross-validation	0.6718146718146718
561	Cross-validation	0.6875804375804376
562	Cross-validation	0.7659854976928148
563	Cross-validation	0.6730388925510877
564	Cross-validation	0.7231377719182597
565	Cross-validation	0.7799227799227799
566	Cross-validation	0.6698841698841699
567	Cross-validation	0.5530652603823336
568	Cross-validation	0.7560975609756098
569	Cross-validation	0.8589321028345418
570	Cross-validation	0.7651222651222651
571	Cross-validation	0.7104247104247104
572	Cross-validation	0.7013843111404088
573	Cross-validation	0.6677653263019117
574	Cross-validation	0.7765326301911668
575	Cross-validation	0.7792792792792793
576	Cross-validation	0.7271557271557273
577	Cross-validation	0.7000659195781147
578	Cross-validation	0.6539222148978246
579	Cross-validation	0.7139090309822017
580	Cross-validation	0.8365508365508365
581	Cross-validation	0.7313384813384813
582	Cross-validation	0.7027027027027026
583	Cross-validation	0.7883981542518128
584	Cross-validation	0.6417270929466051
585	Cross-validation	0.7477477477477478
586	Cross-validation	0.768983268983269
587	Cross-validation	0.6941331575477917
588	Cross-validation	0.6776532630191167
589	Cross-validation	0.7066578773895847
590	Cross-validation	0.7863577863577864
591	Cross-validation	0.6808236808236808
592	Cross-validation	0.6779828609096902
593	Cross-validation	0.7415952537903758
594	Cross-validation	0.7725774555042848
595	Cross-validation	0.6505791505791506
596	Cross-validation	0.5791505791505792
597	Cross-validation	0.8246539222148979
598	Cross-validation	0.7297297297297298
599	Cross-validation	0.8497033618984839
600	Cross-validation	0.826898326898327
601	Cross-validation	0.6956241956241958
602	Cross-validation	0.6779828609096902
603	Cross-validation	0.7027027027027027
604	Cross-validation	0.7877389584706658
605	Cross-validation	0.6254826254826256
606	Cross-validation	0.667953667953668
607	Cross-validation	0.7396176664469347
608	Cross-validation	0.8239947264337509
609	Cross-validation	0.7099538562953197
610	Cross-validation	0.7425997425997426
611	Cross-validation	0.6576576576576576
612	Cross-validation	0.7705998681608438
613	Cross-validation	0.7280817402768622
614	Cross-validation	0.6750164798945286
615	Cross-validation	0.7368082368082369
616	Cross-validation	0.7625482625482626
617	Cross-validation	0.7560975609756098
618	Cross-validation	0.6947923533289387
619	Cross-validation	0.6941331575477917
620	Cross-validation	0.7625482625482626
621	Cross-validation	0.7464607464607466
622	Cross-validation	0.629861568885959
623	Cross-validation	0.7336849044166117
624	Cross-validation	0.7076466710613052
625	Cross-validation	0.7213642213642213
626	Cross-validation	0.6792149292149292
627	Cross-validation	0.7270929466051418
628	Cross-validation	0.7415952537903758
629	Cross-validation	0.7280817402768622
630	Cross-validation	0.7303732303732303
631	Cross-validation	0.7400257400257401
632	Cross-validation	0.7636783124588002
633	Cross-validation	0.7040210942649967
634	Cross-validation	0.7633487145682267
635	Cross-validation	0.7541827541827543
636	Cross-validation	0.6731016731016731
637	Cross-validation	0.6908371786420567
638	Cross-validation	0.8160843770599869
639	Cross-validation	0.6723796967699407
640	Cross-validation	0.7355212355212355
641	Cross-validation	0.6628056628056628
642	Cross-validation	0.7356624917600527
643	Cross-validation	0.6888595912986156
644	Cross-validation	0.7495056031641398
645	Cross-validation	0.6222651222651223
646	Cross-validation	0.7268339768339769
647	Cross-validation	0.7198417930125247
648	Cross-validation	0.7883981542518128
649	Cross-validation	0.7237969676994067
650	Cross-validation	0.7091377091377091
651	Cross-validation	0.7097812097812097
652	Cross-validation	0.8352010547132498
653	Cross-validation	0.7172050098879368
654	Cross-validation	0.6855636123928808
655	Cross-validation	0.741956241956242
656	Cross-validation	0.6718146718146718
657	Cross-validation	0.7521423862887278
658	Cross-validation	0.7363216875411998
659	Cross-validation	0.7284113381674358
660	Cross-validation	0.7709137709137709
661	Cross-validation	0.5862290862290862
662	Cross-validation	0.8022412656558998
663	Cross-validation	0.6783124588002637
664	Cross-validation	0.7119314436387607
665	Cross-validation	0.7696267696267697
666	Cross-validation	0.8140283140283141
667	Cross-validation	0.7148978246539223
668	Cross-validation	0.6381015161502966
669	Cross-validation	0.7554383651944627
670	Cross-validation	0.7104247104247104
671	Cross-validation	0.7477477477477479
672	Cross-validation	0.7534607778510218
673	Cross-validation	0.7079762689518787
674	Cross-validation	0.6572181938035596
675	Cross-validation	0.7052767052767053
676	Cross-validation	0.7818532818532818
677	Cross-validation	0.7205009887936717
678	Cross-validation	0.6357943309162821
679	Cross-validation	0.7976268951878708
680	Cross-validation	0.731016731016731
681	Cross-validation	0.6782496782496783
682	Cross-validation	0.6565589980224126
683	Cross-validation	0.7778510217534608
684	Cross-validation	0.7626895187870798
685	Cross-validation	0.6576576576576576
686	Cross-validation	0.6280566280566282
