"cost","loss","epsilon","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.01,"L1",0.1,0.5,0.998,0.002,0,0.0447213595499958,0.0447213595499958,"L2_Logistic_Regression"
0.01,"L2_primal",0.001,0.712781735568321,0.294412912912913,0.925488966318235,0.0561576940285709,0.0697518857675211,0.0415300782504119,"L2_Logistic_Regression"
0.01,"L2_primal",0.01,0.712824615556323,0.294412912912913,0.925487804878049,0.0561412761026588,0.0697308961076317,0.0414779747400324,"L2_Logistic_Regression"
0.01,"L2_primal",0.1,0.711037065811456,0.301325825825826,0.921092915214866,0.0565093134889941,0.0696841123005285,0.0426840732279967,"L2_Logistic_Regression"
0.1,"L2_dual",0.001,0.726363419168297,0.511779279279279,0.820216027874564,0.0529943927173233,0.0770603486136273,0.0595376844345771,"L2_Logistic_Regression"
0.1,"L2_dual",0.01,0.726359567755909,0.511779279279279,0.820216027874564,0.0529868780225061,0.0770603486136273,0.0595376844345771,"L2_Logistic_Regression"
0.1,"L2_dual",0.1,0.726357794205355,0.511234234234234,0.820169570267131,0.0530129446318911,0.077005292963285,0.0594758664770702,"L2_Logistic_Regression"
0.1,"L1",0.001,0.713959382291699,0.9995,0.00252032520325203,0.107054618558151,0.0111803398874989,0.0362457538600345,"L2_Logistic_Regression"
0.1,"L1",0.01,0.713959382291699,0.9995,0.00252032520325203,0.107054618558151,0.0111803398874989,0.0362457538600345,"L2_Logistic_Regression"
0.1,"L1",0.1,0.713959382291699,0.9995,0.00252032520325203,0.107054618558151,0.0111803398874989,0.0362457538600345,"L2_Logistic_Regression"
0.1,"L2_primal",0.001,0.726356909173982,0.511779279279279,0.820216027874564,0.0529904095721007,0.0769843266116281,0.0595376844345771,"L2_Logistic_Regression"
