	level_1	AUC
579	Cross-validation	0.7273035230352304
580	Cross-validation	0.7126769626769627
581	Cross-validation	0.6998069498069498
582	Cross-validation	0.7731660231660231
583	Cross-validation	0.822420634920635
584	Cross-validation	0.7957317073170731
585	Cross-validation	0.7715572715572715
586	Cross-validation	0.8027670527670527
587	Cross-validation	0.8323680823680824
588	Cross-validation	0.6941137566137567
589	Cross-validation	0.7073170731707317
590	Cross-validation	0.8043758043758044
591	Cross-validation	0.7786357786357786
592	Cross-validation	0.7715572715572716
593	Cross-validation	0.7513227513227513
594	Cross-validation	0.714430894308943
595	Cross-validation	0.7860360360360361
596	Cross-validation	0.7898970398970399
597	Cross-validation	0.8166023166023166
598	Cross-validation	0.6898148148148149
599	Cross-validation	0.741531165311653
600	Cross-validation	0.8687258687258688
601	Cross-validation	0.8326898326898328
602	Cross-validation	0.7380952380952381
603	Cross-validation	0.6732804232804233
604	Cross-validation	0.8038617886178863
605	Cross-validation	0.7734877734877735
606	Cross-validation	0.7631917631917633
607	Cross-validation	0.8281853281853282
608	Cross-validation	0.8088624338624338
609	Cross-validation	0.7296747967479675
610	Cross-validation	0.8285070785070785
611	Cross-validation	0.6924066924066924
612	Cross-validation	0.7734877734877734
613	Cross-validation	0.8088624338624338
614	Cross-validation	0.8089430894308942
615	Cross-validation	0.8198198198198198
616	Cross-validation	0.767052767052767
617	Cross-validation	0.7998712998712999
618	Cross-validation	0.7986111111111112
619	Cross-validation	0.7737127371273712
620	Cross-validation	0.787001287001287
621	Cross-validation	0.7895752895752896
622	Cross-validation	0.7265122265122265
623	Cross-validation	0.7883597883597884
624	Cross-validation	0.7916666666666666
625	Cross-validation	0.6274131274131276
626	Cross-validation	0.8687258687258688
627	Cross-validation	0.8764478764478765
628	Cross-validation	0.7367724867724869
629	Cross-validation	0.8102981029810299
630	Cross-validation	0.832046332046332
631	Cross-validation	0.7921492921492922
632	Cross-validation	0.7606177606177607
633	Cross-validation	0.7410714285714286
634	Cross-validation	0.8279132791327913
635	Cross-validation	0.7464607464607464
636	Cross-validation	0.7799227799227799
637	Cross-validation	0.7574002574002575
638	Cross-validation	0.8187830687830688
639	Cross-validation	0.8590785907859078
640	Cross-validation	0.6615186615186616
641	Cross-validation	0.7876447876447875
642	Cross-validation	0.7895752895752897
643	Cross-validation	0.7526455026455026
644	Cross-validation	0.9159891598915989
645	Cross-validation	0.8333333333333334
646	Cross-validation	0.7989060489060489
647	Cross-validation	0.6685971685971687
648	Cross-validation	0.7777777777777778
649	Cross-validation	0.8130081300813008
650	Cross-validation	0.7985842985842986
651	Cross-validation	0.6924066924066924
652	Cross-validation	0.7101029601029601
653	Cross-validation	0.740079365079365
654	Cross-validation	0.8062330623306233
655	Cross-validation	0.8227155727155727
656	Cross-validation	0.7963320463320462
657	Cross-validation	0.7722007722007723
658	Cross-validation	0.7390873015873015
659	Cross-validation	0.6714092140921409
660	Cross-validation	0.8211068211068212
661	Cross-validation	0.673101673101673
662	Cross-validation	0.7995495495495495
663	Cross-validation	0.7632275132275133
664	Cross-validation	0.7425474254742548
665	Cross-validation	0.7593307593307594
666	Cross-validation	0.74002574002574
667	Cross-validation	0.6943371943371943
668	Cross-validation	0.791005291005291
669	Cross-validation	0.7933604336043361
670	Cross-validation	0.7915057915057915
671	Cross-validation	0.7844272844272844
672	Cross-validation	0.667953667953668
673	Cross-validation	0.8151455026455026
674	Cross-validation	0.7354336043360432
675	Cross-validation	0.768983268983269
676	Cross-validation	0.7351994851994853
677	Cross-validation	0.6965894465894465
678	Cross-validation	0.8356481481481481
679	Cross-validation	0.7605013550135502
680	Cross-validation	0.7268339768339769
681	Cross-validation	0.8278635778635779
682	Cross-validation	0.7850707850707851
683	Cross-validation	0.7546296296296298
684	Cross-validation	0.7100271002710028
685	Cross-validation	0.7406692406692407
686	Cross-validation	0.8182110682110683
687	Cross-validation	0.7985842985842986
688	Cross-validation	0.7923280423280422
689	Cross-validation	0.6734417344173441
690	Cross-validation	0.8075933075933075
691	Cross-validation	0.7889317889317888
692	Cross-validation	0.7197554697554698
693	Cross-validation	0.7172619047619048
694	Cross-validation	0.7022357723577236
695	Cross-validation	0.6766409266409267
